input,style,roast
"My job is data analyst, I love eating bubble tea, and I enjoy watching anime.",sarcastic,"A data analyst that eats bubble tea and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is accountant, I love eating pineapple pizza, and I enjoy coding memes.",savage,You're a accountant who survives on pineapple pizza and spends weekends coding memes? No wonder your Wi-Fi has more stability than your career.
"My job is social media manager, I love eating pineapple pizza, and I enjoy coding memes.",friendly,"As a social media manager who loves pineapple pizza and enjoys coding memes, you're living the dream — the weird dream, but a dream nonetheless."
"My job is accountant, I love eating unseasoned chicken, and I enjoy playing sudoku.",sarcastic,"A accountant that eats unseasoned chicken and enjoys playing sudoku? Wow, truly the hero our economy needed."
"My job is accountant, I love eating ramen, and I enjoy collecting Funko Pops.",friendly,"As a accountant who loves ramen and enjoys collecting Funko Pops, you're living the dream — the weird dream, but a dream nonetheless."
"My job is accountant, I love eating instant noodles, and I enjoy watching anime.",friendly,"As a accountant who loves instant noodles and enjoys watching anime, you're living the dream — the weird dream, but a dream nonetheless."
"My job is software engineer, I love eating kale smoothie, and I enjoy coding memes.",sarcastic,"A software engineer that eats kale smoothie and enjoys coding memes? Wow, truly the hero our economy needed."
"My job is freelance DJ, I love eating kale smoothie, and I enjoy cat cosplay.",sarcastic,"A freelance DJ that eats kale smoothie and enjoys cat cosplay? Wow, truly the hero our economy needed."
"My job is social media manager, I love eating bubble tea, and I enjoy watching anime.",friendly,"As a social media manager who loves bubble tea and enjoys watching anime, you're living the dream — the weird dream, but a dream nonetheless."
"My job is social media manager, I love eating pineapple pizza, and I enjoy TikTok dancing.",savage,You're a social media manager who survives on pineapple pizza and spends weekends TikTok dancing? No wonder your Wi-Fi has more stability than your career.
"My job is freelance DJ, I love eating pineapple pizza, and I enjoy playing sudoku.",friendly,"As a freelance DJ who loves pineapple pizza and enjoys playing sudoku, you're living the dream — the weird dream, but a dream nonetheless."
"My job is freelance DJ, I love eating instant noodles, and I enjoy watching anime.",sarcastic,"A freelance DJ that eats instant noodles and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is freelance DJ, I love eating unseasoned chicken, and I enjoy playing sudoku.",savage,You're a freelance DJ who survives on unseasoned chicken and spends weekends playing sudoku? No wonder your Wi-Fi has more stability than your career.
"My job is software engineer, I love eating pineapple pizza, and I enjoy collecting Funko Pops.",savage,You're a software engineer who survives on pineapple pizza and spends weekends collecting Funko Pops? No wonder your Wi-Fi has more stability than your career.
"My job is HR intern, I love eating ramen, and I enjoy collecting Funko Pops.",savage,You're a HR intern who survives on ramen and spends weekends collecting Funko Pops? No wonder your Wi-Fi has more stability than your career.
"My job is freelance DJ, I love eating pineapple pizza, and I enjoy cat cosplay.",savage,You're a freelance DJ who survives on pineapple pizza and spends weekends cat cosplay? No wonder your Wi-Fi has more stability than your career.
"My job is freelance DJ, I love eating ramen, and I enjoy watching anime.",friendly,"As a freelance DJ who loves ramen and enjoys watching anime, you're living the dream — the weird dream, but a dream nonetheless."
"My job is social media manager, I love eating bubble tea, and I enjoy watching anime.",friendly,"As a social media manager who loves bubble tea and enjoys watching anime, you're living the dream — the weird dream, but a dream nonetheless."
"My job is accountant, I love eating bubble tea, and I enjoy watching anime.",savage,You're a accountant who survives on bubble tea and spends weekends watching anime? No wonder your Wi-Fi has more stability than your career.
"My job is accountant, I love eating unseasoned chicken, and I enjoy collecting Funko Pops.",savage,You're a accountant who survives on unseasoned chicken and spends weekends collecting Funko Pops? No wonder your Wi-Fi has more stability than your career.
"My job is accountant, I love eating ramen, and I enjoy coding memes.",savage,You're a accountant who survives on ramen and spends weekends coding memes? No wonder your Wi-Fi has more stability than your career.
"My job is data analyst, I love eating instant noodles, and I enjoy collecting Funko Pops.",savage,You're a data analyst who survives on instant noodles and spends weekends collecting Funko Pops? No wonder your Wi-Fi has more stability than your career.
"My job is data analyst, I love eating ramen, and I enjoy coding memes.",friendly,"As a data analyst who loves ramen and enjoys coding memes, you're living the dream — the weird dream, but a dream nonetheless."
"My job is data analyst, I love eating instant noodles, and I enjoy coding memes.",savage,You're a data analyst who survives on instant noodles and spends weekends coding memes? No wonder your Wi-Fi has more stability than your career.
"My job is accountant, I love eating unseasoned chicken, and I enjoy coding memes.",savage,You're a accountant who survives on unseasoned chicken and spends weekends coding memes? No wonder your Wi-Fi has more stability than your career.
"My job is freelance DJ, I love eating instant noodles, and I enjoy playing sudoku.",sarcastic,"A freelance DJ that eats instant noodles and enjoys playing sudoku? Wow, truly the hero our economy needed."
"My job is software engineer, I love eating ramen, and I enjoy coding memes.",savage,You're a software engineer who survives on ramen and spends weekends coding memes? No wonder your Wi-Fi has more stability than your career.
"My job is accountant, I love eating unseasoned chicken, and I enjoy collecting Funko Pops.",savage,You're a accountant who survives on unseasoned chicken and spends weekends collecting Funko Pops? No wonder your Wi-Fi has more stability than your career.
"My job is social media manager, I love eating ramen, and I enjoy coding memes.",friendly,"As a social media manager who loves ramen and enjoys coding memes, you're living the dream — the weird dream, but a dream nonetheless."
"My job is freelance DJ, I love eating unseasoned chicken, and I enjoy watching anime.",savage,You're a freelance DJ who survives on unseasoned chicken and spends weekends watching anime? No wonder your Wi-Fi has more stability than your career.
"My job is accountant, I love eating ramen, and I enjoy TikTok dancing.",friendly,"As a accountant who loves ramen and enjoys TikTok dancing, you're living the dream — the weird dream, but a dream nonetheless."
"My job is data analyst, I love eating instant noodles, and I enjoy cat cosplay.",friendly,"As a data analyst who loves instant noodles and enjoys cat cosplay, you're living the dream — the weird dream, but a dream nonetheless."
"My job is data analyst, I love eating instant noodles, and I enjoy collecting Funko Pops.",savage,You're a data analyst who survives on instant noodles and spends weekends collecting Funko Pops? No wonder your Wi-Fi has more stability than your career.
"My job is software engineer, I love eating ramen, and I enjoy collecting Funko Pops.",savage,You're a software engineer who survives on ramen and spends weekends collecting Funko Pops? No wonder your Wi-Fi has more stability than your career.
"My job is HR intern, I love eating instant noodles, and I enjoy TikTok dancing.",sarcastic,"A HR intern that eats instant noodles and enjoys TikTok dancing? Wow, truly the hero our economy needed."
"My job is data analyst, I love eating ramen, and I enjoy cat cosplay.",savage,You're a data analyst who survives on ramen and spends weekends cat cosplay? No wonder your Wi-Fi has more stability than your career.
"My job is freelance DJ, I love eating ramen, and I enjoy watching anime.",sarcastic,"A freelance DJ that eats ramen and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is accountant, I love eating ramen, and I enjoy coding memes.",friendly,"As a accountant who loves ramen and enjoys coding memes, you're living the dream — the weird dream, but a dream nonetheless."
"My job is freelance DJ, I love eating ramen, and I enjoy cat cosplay.",sarcastic,"A freelance DJ that eats ramen and enjoys cat cosplay? Wow, truly the hero our economy needed."
"My job is software engineer, I love eating instant noodles, and I enjoy playing sudoku.",savage,You're a software engineer who survives on instant noodles and spends weekends playing sudoku? No wonder your Wi-Fi has more stability than your career.
"My job is software engineer, I love eating kale smoothie, and I enjoy collecting Funko Pops.",savage,You're a software engineer who survives on kale smoothie and spends weekends collecting Funko Pops? No wonder your Wi-Fi has more stability than your career.
"My job is HR intern, I love eating ramen, and I enjoy TikTok dancing.",friendly,"As a HR intern who loves ramen and enjoys TikTok dancing, you're living the dream — the weird dream, but a dream nonetheless."
"My job is social media manager, I love eating bubble tea, and I enjoy watching anime.",sarcastic,"A social media manager that eats bubble tea and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is freelance DJ, I love eating kale smoothie, and I enjoy TikTok dancing.",sarcastic,"A freelance DJ that eats kale smoothie and enjoys TikTok dancing? Wow, truly the hero our economy needed."
"My job is accountant, I love eating instant noodles, and I enjoy TikTok dancing.",savage,You're a accountant who survives on instant noodles and spends weekends TikTok dancing? No wonder your Wi-Fi has more stability than your career.
"My job is data analyst, I love eating instant noodles, and I enjoy cat cosplay.",friendly,"As a data analyst who loves instant noodles and enjoys cat cosplay, you're living the dream — the weird dream, but a dream nonetheless."
"My job is data analyst, I love eating bubble tea, and I enjoy watching anime.",friendly,"As a data analyst who loves bubble tea and enjoys watching anime, you're living the dream — the weird dream, but a dream nonetheless."
"My job is accountant, I love eating pineapple pizza, and I enjoy watching anime.",savage,You're a accountant who survives on pineapple pizza and spends weekends watching anime? No wonder your Wi-Fi has more stability than your career.
"My job is data analyst, I love eating instant noodles, and I enjoy watching anime.",savage,You're a data analyst who survives on instant noodles and spends weekends watching anime? No wonder your Wi-Fi has more stability than your career.
"My job is accountant, I love eating kale smoothie, and I enjoy TikTok dancing.",savage,You're a accountant who survives on kale smoothie and spends weekends TikTok dancing? No wonder your Wi-Fi has more stability than your career.
"My job is social media manager, I love eating pineapple pizza, and I enjoy watching anime.",sarcastic,"A social media manager that eats pineapple pizza and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is accountant, I love eating unseasoned chicken, and I enjoy playing sudoku.",friendly,"As a accountant who loves unseasoned chicken and enjoys playing sudoku, you're living the dream — the weird dream, but a dream nonetheless."
"My job is accountant, I love eating instant noodles, and I enjoy playing sudoku.",savage,You're a accountant who survives on instant noodles and spends weekends playing sudoku? No wonder your Wi-Fi has more stability than your career.
"My job is data analyst, I love eating instant noodles, and I enjoy coding memes.",savage,You're a data analyst who survives on instant noodles and spends weekends coding memes? No wonder your Wi-Fi has more stability than your career.
"My job is accountant, I love eating instant noodles, and I enjoy playing sudoku.",savage,You're a accountant who survives on instant noodles and spends weekends playing sudoku? No wonder your Wi-Fi has more stability than your career.
"My job is social media manager, I love eating unseasoned chicken, and I enjoy watching anime.",sarcastic,"A social media manager that eats unseasoned chicken and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is freelance DJ, I love eating pineapple pizza, and I enjoy watching anime.",sarcastic,"A freelance DJ that eats pineapple pizza and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is data analyst, I love eating bubble tea, and I enjoy cat cosplay.",friendly,"As a data analyst who loves bubble tea and enjoys cat cosplay, you're living the dream — the weird dream, but a dream nonetheless."
"My job is social media manager, I love eating unseasoned chicken, and I enjoy coding memes.",savage,You're a social media manager who survives on unseasoned chicken and spends weekends coding memes? No wonder your Wi-Fi has more stability than your career.
"My job is software engineer, I love eating instant noodles, and I enjoy TikTok dancing.",savage,You're a software engineer who survives on instant noodles and spends weekends TikTok dancing? No wonder your Wi-Fi has more stability than your career.
"My job is freelance DJ, I love eating bubble tea, and I enjoy watching anime.",sarcastic,"A freelance DJ that eats bubble tea and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is social media manager, I love eating pineapple pizza, and I enjoy watching anime.",friendly,"As a social media manager who loves pineapple pizza and enjoys watching anime, you're living the dream — the weird dream, but a dream nonetheless."
"My job is HR intern, I love eating ramen, and I enjoy cat cosplay.",sarcastic,"A HR intern that eats ramen and enjoys cat cosplay? Wow, truly the hero our economy needed."
"My job is data analyst, I love eating instant noodles, and I enjoy TikTok dancing.",sarcastic,"A data analyst that eats instant noodles and enjoys TikTok dancing? Wow, truly the hero our economy needed."
"My job is freelance DJ, I love eating kale smoothie, and I enjoy cat cosplay.",friendly,"As a freelance DJ who loves kale smoothie and enjoys cat cosplay, you're living the dream — the weird dream, but a dream nonetheless."
"My job is data analyst, I love eating bubble tea, and I enjoy cat cosplay.",sarcastic,"A data analyst that eats bubble tea and enjoys cat cosplay? Wow, truly the hero our economy needed."
"My job is social media manager, I love eating bubble tea, and I enjoy TikTok dancing.",savage,You're a social media manager who survives on bubble tea and spends weekends TikTok dancing? No wonder your Wi-Fi has more stability than your career.
"My job is accountant, I love eating unseasoned chicken, and I enjoy TikTok dancing.",friendly,"As a accountant who loves unseasoned chicken and enjoys TikTok dancing, you're living the dream — the weird dream, but a dream nonetheless."
"My job is software engineer, I love eating instant noodles, and I enjoy watching anime.",savage,You're a software engineer who survives on instant noodles and spends weekends watching anime? No wonder your Wi-Fi has more stability than your career.
"My job is social media manager, I love eating kale smoothie, and I enjoy collecting Funko Pops.",sarcastic,"A social media manager that eats kale smoothie and enjoys collecting Funko Pops? Wow, truly the hero our economy needed."
"My job is social media manager, I love eating pineapple pizza, and I enjoy playing sudoku.",friendly,"As a social media manager who loves pineapple pizza and enjoys playing sudoku, you're living the dream — the weird dream, but a dream nonetheless."
"My job is freelance DJ, I love eating kale smoothie, and I enjoy watching anime.",friendly,"As a freelance DJ who loves kale smoothie and enjoys watching anime, you're living the dream — the weird dream, but a dream nonetheless."
"My job is freelance DJ, I love eating kale smoothie, and I enjoy TikTok dancing.",savage,You're a freelance DJ who survives on kale smoothie and spends weekends TikTok dancing? No wonder your Wi-Fi has more stability than your career.
"My job is social media manager, I love eating unseasoned chicken, and I enjoy coding memes.",savage,You're a social media manager who survives on unseasoned chicken and spends weekends coding memes? No wonder your Wi-Fi has more stability than your career.
"My job is accountant, I love eating pineapple pizza, and I enjoy coding memes.",friendly,"As a accountant who loves pineapple pizza and enjoys coding memes, you're living the dream — the weird dream, but a dream nonetheless."
"My job is software engineer, I love eating instant noodles, and I enjoy TikTok dancing.",friendly,"As a software engineer who loves instant noodles and enjoys TikTok dancing, you're living the dream — the weird dream, but a dream nonetheless."
"My job is data analyst, I love eating bubble tea, and I enjoy coding memes.",sarcastic,"A data analyst that eats bubble tea and enjoys coding memes? Wow, truly the hero our economy needed."
"My job is HR intern, I love eating pineapple pizza, and I enjoy collecting Funko Pops.",friendly,"As a HR intern who loves pineapple pizza and enjoys collecting Funko Pops, you're living the dream — the weird dream, but a dream nonetheless."
"My job is social media manager, I love eating unseasoned chicken, and I enjoy cat cosplay.",savage,You're a social media manager who survives on unseasoned chicken and spends weekends cat cosplay? No wonder your Wi-Fi has more stability than your career.
"My job is accountant, I love eating instant noodles, and I enjoy playing sudoku.",friendly,"As a accountant who loves instant noodles and enjoys playing sudoku, you're living the dream — the weird dream, but a dream nonetheless."
"My job is accountant, I love eating unseasoned chicken, and I enjoy watching anime.",friendly,"As a accountant who loves unseasoned chicken and enjoys watching anime, you're living the dream — the weird dream, but a dream nonetheless."
"My job is freelance DJ, I love eating ramen, and I enjoy TikTok dancing.",sarcastic,"A freelance DJ that eats ramen and enjoys TikTok dancing? Wow, truly the hero our economy needed."
"My job is freelance DJ, I love eating kale smoothie, and I enjoy cat cosplay.",friendly,"As a freelance DJ who loves kale smoothie and enjoys cat cosplay, you're living the dream — the weird dream, but a dream nonetheless."
"My job is data analyst, I love eating kale smoothie, and I enjoy playing sudoku.",sarcastic,"A data analyst that eats kale smoothie and enjoys playing sudoku? Wow, truly the hero our economy needed."
"My job is social media manager, I love eating instant noodles, and I enjoy watching anime.",friendly,"As a social media manager who loves instant noodles and enjoys watching anime, you're living the dream — the weird dream, but a dream nonetheless."
"My job is social media manager, I love eating unseasoned chicken, and I enjoy coding memes.",sarcastic,"A social media manager that eats unseasoned chicken and enjoys coding memes? Wow, truly the hero our economy needed."
"My job is accountant, I love eating unseasoned chicken, and I enjoy cat cosplay.",friendly,"As a accountant who loves unseasoned chicken and enjoys cat cosplay, you're living the dream — the weird dream, but a dream nonetheless."
"My job is data analyst, I love eating ramen, and I enjoy collecting Funko Pops.",savage,You're a data analyst who survives on ramen and spends weekends collecting Funko Pops? No wonder your Wi-Fi has more stability than your career.
"My job is HR intern, I love eating ramen, and I enjoy playing sudoku.",savage,You're a HR intern who survives on ramen and spends weekends playing sudoku? No wonder your Wi-Fi has more stability than your career.
"My job is software engineer, I love eating pineapple pizza, and I enjoy collecting Funko Pops.",friendly,"As a software engineer who loves pineapple pizza and enjoys collecting Funko Pops, you're living the dream — the weird dream, but a dream nonetheless."
"My job is data analyst, I love eating unseasoned chicken, and I enjoy watching anime.",sarcastic,"A data analyst that eats unseasoned chicken and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is social media manager, I love eating pineapple pizza, and I enjoy coding memes.",sarcastic,"A social media manager that eats pineapple pizza and enjoys coding memes? Wow, truly the hero our economy needed."
"My job is accountant, I love eating bubble tea, and I enjoy coding memes.",savage,You're a accountant who survives on bubble tea and spends weekends coding memes? No wonder your Wi-Fi has more stability than your career.
"My job is freelance DJ, I love eating instant noodles, and I enjoy cat cosplay.",sarcastic,"A freelance DJ that eats instant noodles and enjoys cat cosplay? Wow, truly the hero our economy needed."
"My job is accountant, I love eating kale smoothie, and I enjoy playing sudoku.",friendly,"As a accountant who loves kale smoothie and enjoys playing sudoku, you're living the dream — the weird dream, but a dream nonetheless."
"My job is HR intern, I love eating instant noodles, and I enjoy watching anime.",savage,You're a HR intern who survives on instant noodles and spends weekends watching anime? No wonder your Wi-Fi has more stability than your career.
"My job is freelance DJ, I love eating pineapple pizza, and I enjoy cat cosplay.",sarcastic,"A freelance DJ that eats pineapple pizza and enjoys cat cosplay? Wow, truly the hero our economy needed."
"My job is social media manager, I love eating unseasoned chicken, and I enjoy watching anime.",savage,You're a social media manager who survives on unseasoned chicken and spends weekends watching anime? No wonder your Wi-Fi has more stability than your career.
"My job is social media manager, I love eating kale smoothie, and I enjoy watching anime.",sarcastic,"A social media manager that eats kale smoothie and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is HR intern, I love eating ramen, and I enjoy TikTok dancing.",savage,You're a HR intern who survives on ramen and spends weekends TikTok dancing? No wonder your Wi-Fi has more stability than your career.
"My job is data analyst, I love eating kale smoothie, and I enjoy watching anime.",sarcastic,"A data analyst that eats kale smoothie and enjoys watching anime? Wow, truly the hero our economy needed."
"My job is social media manager, I love eating bubble tea, and I enjoy collecting Funko Pops.",friendly,"As a social media manager who loves bubble tea and enjoys collecting Funko Pops, you're living the dream — the weird dream, but a dream nonetheless."
"My job is freelance DJ, I love eating kale smoothie, and I enjoy coding memes.",friendly,"As a freelance DJ who loves kale smoothie and enjoys coding memes, you're living the dream — the weird dream, but a dream nonetheless."
"My job is data analyst, I love eating kale smoothie, and I enjoy watching anime.",friendly,"As a data analyst who loves kale smoothie and enjoys watching anime, you're living the dream — the weird dream, but a dream nonetheless."
"My job is freelance DJ, I love eating kale smoothie, and I enjoy collecting Funko Pops.",savage,You're a freelance DJ who survives on kale smoothie and spends weekends collecting Funko Pops? No wonder your Wi-Fi has more stability than your career.
"My job is HR intern, I love eating unseasoned chicken, and I enjoy watching anime.",friendly,"As a HR intern who loves unseasoned chicken and enjoys watching anime, you're living the dream — the weird dream, but a dream nonetheless."
